source_id,hotel_name,stay_date,hotel_stars,traveler_type,reviewer_country,rating_score,title,pos_text,neg_text
2eff4622b915a5c66db0c8744be120bd,PURO Wrocław Stare Miasto,May 2026,3,Couple,Germany,6.0,"Good location, room too small, impersonal.","Good breakfast, beautiful location,","Air conditioning not switchable, shower half open, impersonal"
ae31afb4011d10227582d48ca4cc0724,PURO Wrocław Stare Miasto,April 2026,3,Solo traveller,Poland,6.0,Pleasant,Location,"Lack of intimacy. The bathroom is separated in the room by means of glass panels, frosted, although not over the entire surface. Every little sound detail from the toilet is heard in the room. Sounds from adjacent rooms as well.
The range of TV channels excludes guests with conservative views. A restaurant space with an intimacy similar to that of a railway station hall. I do not recommend it to people looking for an intimate atmosphere."
1cc2d1bf6f3bcab0e1f02db65eb83415,PURO Wrocław Stare Miasto,March 2026,3,Family,Poland,6.0,We hoped for better experience,"Great location, very very friendly staff.
Breakfast was nice, although I would like to see more local products.","This Puro Hotel had noticeable lower quality than other Puro locations I visited. Rooms were older and some facilities were surprisingly bad. For us the biggest issue was that our room was stuffy and hot regardless of the air conditioning setting. The hotel's intervention didn't improve the situation.
As a result we couldn't have a good sleep during our busy stay in Wroclaw."
ae31afb4011d10227582d48ca4cc0724,PURO Wrocław Stare Miasto,March 2026,3,Couple,Poland,6.0,Pleasant,Clean rooms and great location,You can hear all the sounds from the corridor and adjacent rooms
22727853a1522e09b2ef27ce299ef494,PURO Wrocław Stare Miasto,February 2026,3,Couple,Poland,6.0,"You can feel that this is an older Puro hotel, already damaged by the ravages of time.","Location, service, cleanliness are a plus","Parking - a disaster. Very tight, parking was complicated, especially in situations where someone was entering and another vehicle was leaving at the same time. Plus problems with the parking meter. All this for 100 PLN per day. Breakfasts are served at the adjacent facility (during the hotel restaurant renovation) do not meet Puro standards, also a big disappointment."
ee80f27a90ef39c2ac4e19a468a9aecf,PURO Wrocław Stare Miasto,February 2026,3,Couple,Israel,5.0,The room temperature is not sufficient for heating.,Outside the building due to renovations,There is no kettle in the room
5f744bbc2a3c2f857a399fe9029446aa,PURO Wrocław Stare Miasto,December 2025,3,Solo traveller,Ireland,6.0,"Perfect location in Wroclaw, but overpriced.","Perfect location, very comfortable lobby and bar. Free coffee and tea in the lobby.","Bathroom design is silly, with no privacy."
392cc29e3272305b0496fbdb1d9538db,PURO Wrocław Stare Miasto,January 2026,3,Couple,Poland,6.0,"When the renovation is finished, 10/10, now I wouldn't recommend it to anyone, unless someone is getting there at 5 in the morning","The location is top, I've been to this hotel several times and I've always been very satisfied :) close to my favorite breakfast place, an Asian restaurant","There is information about the modernization works of the restaurant that have been ongoing for 2 months. But we were very disappointed, because it turned out that the guest paying 350 PLN/night without meals after discounts had a view of a toy truck, and was woken up by HAMMERING AND DRILLING. Some kind of joke. Room on the 2nd floor, and noise from waking up to check-out :)"
ae31afb4011d10227582d48ca4cc0724,PURO Wrocław Stare Miasto,November 2025,3,Solo traveller,Poland,6.0,Pleasant,"Comfortable bed, clean","Too small rooms, no kettle in the room, no bathrobe, slippers, iron, TV didn't work, no restaurant inside the hotel, apparently the hotel is under partial renovation, for breakfast you had to go outside to another facility, no body lotion"
ae31afb4011d10227582d48ca4cc0724,PURO Wrocław Stare Miasto,October 2025,3,Couple,Poland,6.0,Pleasant,"Location, decor","Very soft bed, unacceptable for us. For a hotel of this class, the breakfast is average."
