source_id,hotel_name,stay_date,hotel_stars,traveler_type,reviewer_country,rating_score,title,pos_text,neg_text
2a0259069c4e8a632318fead14b1dc39,PURO Wrocław Stare Miasto,March 2026,3,Solo traveller,Germany,9.0,A very successful stay.,The location is very central.,Nothing.
7048378ec82aaea9efba3ea38bb2d563,PURO Wrocław Stare Miasto,May 2026,3,Solo traveller,Poland,9.0,"I will definitely return to this hotel, I was satisfied with my stay.","Super located hotel. Beautiful view and panoramic windows. The exit directly to the park is charming.
The service was very nice and helpful. Coffee and tea available in the lobby, as well as the possibility of using bicycles, are a great convenience.","If I had to nitpick anything, it would be the size of the room. Claustrophobic. Once you open the suitcase, there is practically no passage. There was also nowhere to put cosmetics in the bathroom. Two separate beds had a maximum space of 10 cm between them."
b2401ef3776546b88b3b8043cc62798e,PURO Wrocław Stare Miasto,May 2026,3,Couple,United Kingdom,9.0,"Great location, comfortable rooms with excellent showers.good value","Location, free bicycle usage.",
9b03abc918eb1eb4f4100c4dee374ffe,PURO Wrocław Stare Miasto,May 2026,3,Couple,Germany,7.0,"Good location, room/ Bed bad","Excellent location, friendly staff, good breakfast","The smallest room of my life - I've been all over the world - with a bed 1.60m wide and only one bed sheet. Room size approximately 7-8 square metersNo cupboard, no refrigerator, no storage space for two suitcases - it seemed to us to be a single room that had been designated as a double room for us. There was only one seat available, room number 223.
All the other rooms were bigger. I don't know why we got this particular room, but obviously everything else was booked.
That's a major drawback. I, at 80 years old, am not going to sleep in a double bed with my wife that is only 1.60 m wide."
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,March 2026,3,Couple,Poland,10.0,Exceptional,"Modern hotel, high standard rooms and a very nice view :)",
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,May 2026,3,Couple,Poland,10.0,Exceptional,"A small apartment, but very cozy, clean and modern.
We felt very good. Great location. We will definitely recommend it to our friends.",There was nothing we didn't like.
e40da5a41b4a19b25081a0f8cf8f874f,PURO Wrocław Stare Miasto,May 2026,3,Group,Poland,9.0,Superb,An unexpectedly good restaurant.,Very narrow entrance to the parking lot and tight parking space.
ba803fd157f84697e93e921f561da85c,PURO Wrocław Stare Miasto,May 2026,3,Couple,Poland,8.0,Very good,The surrounding area and garden,"The bathroom has glass walls, it's uncomfortable and if I had known this beforehand, I would have chosen another hotel, even a more expensive one."
a41963876230cbf29f1addbb002038dd,PURO Wrocław Stare Miasto,May 2026,3,Couple,Spain,8.0,Great location nice staff small room,Location was great.,Small room
d58b2d95a5b5576382a3add686de363c,PURO Wrocław Stare Miasto,February 2026,3,Couple,Poland,8.0,Perfect for a weekend stay in Wrocław,"Very clean rooms. An incredibly comfortable mattress to sleep on. Blackout curtains - they do not let any light through, so if you are a light sleeper, you don't have to worry. Fresh, fragrant bedding. Clean and spacious (although not large) bathroom, fully equipped - towels, cosmetics, washing gel, shampoo and a set for women (this is a huge plus!). Coffee, tea and chocolate available 24/7 downstairs in the lobby. The decor of the entire hotel is well thought out, very aesthetic, and pleasing to the eye. The location is a huge plus, right in the center of the city.","If someone is a sensitive sleeper, it is worth asking for a room at the end of the corridor, with a window overlooking the courtyard. It was our first time at Puro and we got a room with a window facing the street, and since our stay was on a weekend, we could hear all the parties, garbage trucks, people returning from parties in the morning, and people talking in the hotel corridor at night. The price of the hotel parking lot does not encourage its use. A few steps from the hotel there is the NFM parking lot, underground, but cheaper. The prices at the bar downstairs by the hotel reception are high, not matching the room prices, and they also add a commission for up to two drinks. There was no information about this on the menu or before entering the card into the terminal. I realized it after the load. There is no fridge in the lowest standard rooms. For a short, weekend stay this place is absolutely fine."
195e7f8786e3a4c00db415f0095f7e38,PURO Wrocław Stare Miasto,April 2026,3,Couple,Germany,10.0,We would love to come back!,The breakfast was excellent and the staff were very friendly and attentive!,
9c34a9e8149586ad0c79c43282d4537c,PURO Wrocław Stare Miasto,April 2026,3,Couple,United Kingdom,9.0,Lovely warm place and very welcoming to tourists,"Lovely welcoming place with greats bars and restaurants close by.
Really enjoyed our stay",
04ea61f140462589f6c676790b4a5818,PURO Wrocław Stare Miasto,May 2026,3,Couple,Poland,10.0,Would stay at Puro again. For sure,The location is top. Nice and friendly staff at welcoming desk.,
2eff4622b915a5c66db0c8744be120bd,PURO Wrocław Stare Miasto,May 2026,3,Couple,Germany,6.0,"Good location, room too small, impersonal.","Good breakfast, beautiful location,","Air conditioning not switchable, shower half open, impersonal"
e43fed38ceea29c947ce6fef7de2c8f0,PURO Wrocław Stare Miasto,May 2026,3,Family,Poland,9.0,Revelation,Delicious breakfast. Possibility to use an additional menu!,
cf55d9a41313b81e55105b246d365779,PURO Wrocław Stare Miasto,May 2026,3,Couple,Poland,7.0,It stands out from the rest of Puro,Very good hotel location and very nice staff.,"It stands out a lot from the rest of the Puro hotels, in the corridor I was actually wondering if I was really in Puro. Breakfast takes place in a very small room and the dishes are packed on the bar. The larger room had some closed event, so the ladies were not allowed in from 9 a.m. as a precaution, the entire hotel was packed into this one room. The selection and standard of dishes were just as good as the rest :(. I am a big fan of this chain but the price is like in any other hotel and unfortunately the standard is not. I think that in this budget you can find something more interesting in Wrocław."
2fedab76ef9330c8761526bab81467c9,PURO Wrocław Stare Miasto,May 2026,3,Family,Poland,2.0,Very poor,,"Cramped rooms, light control via tablet, expensive breakfast not worth the price. The bathroom is mega cramped."
ed1c27b4bf5c0b64f0aa8d1b590eea69,PURO Wrocław Stare Miasto,April 2026,3,Couple,United Kingdom,8.0,All in all very good barring the food. Breakfast was good. Evening meals not so.,"Lovely hotel, staff, facilities, room, and great free coffee machine.","The food wasn’t great, tried to be too fancy and upmarket. We had one inedible meal, couldn’t eat and should have not been charged for. We were given a free sweet but not really on."
18ed5025f713801ab99cc4ffeb45aabd,PURO Wrocław Stare Miasto,May 2026,3,Solo traveller,Poland,9.0,Super comfort,"Absolute cleanliness, the ability to control the temperature and lighting, mute the TV, wonderfully comfortable bedding, and a conveniently designed space.","No kettle in the room (no possibility of making a bedtime tea in pajamas) and the noises from the elevator, because the room was opposite."
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,May 2026,3,Solo traveller,Czech Republic,10.0,Exceptional,"Location, room design, cleanliness, technical and lighting solutions of the bathroom. View of the greenery. Possibility of connecting and streaming to TV from your own mobile application.","A little louder traffic noise, but nothing terrible when opening the window and the inability to adjust the air conditioning to a more pleasant level."
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,March 2026,3,Couple,Poland,10.0,Exceptional,"Delicious breakfast, with good quality buffet and a la carte dishes. I recommend adding breakfast to your stay.",
e40da5a41b4a19b25081a0f8cf8f874f,PURO Wrocław Stare Miasto,May 2026,3,Family,Poland,9.0,Superb,"Great location, close to the market and many restaurants. Very good breakfasts and dinners in the hotel restaurant. Great staff!",there was no such thing
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,February 2026,3,Family,Poland,10.0,Exceptional,"Really great, PURO always at a high level.",
a15eae3be0d5b1e5f4623fef506a1d21,PURO Wrocław Stare Miasto,May 2026,3,Couple,Germany,9.0,We'll be back! ☺️,"PURO is always a wonderful experience. No matter where you are. Extremely central location, beautifully furnished, super friendly staff. 👍🏻","Despite the coffee machine in the foyer (which is really great), I missed having one in my room.
The air conditioning was difficult to adjust or did not react as desired. But these are all first-world problems 😅"
f9fd8fc7688a4b01f010cad431d33fa8,PURO Wrocław Stare Miasto,May 2026,3,Couple,Poland,10.0,Exceptional,"Fantastic location, helpful staff, comfortable beds, delicious breakfast.",Everything was great.
7c9c6cb87d9b465b4cd6387537dc5988,PURO Wrocław Stare Miasto,May 2026,3,Family,Poland,9.0,"A hotel with a garden in a great location in Wrocław. Delicious breakfasts, which can also be enjoyed in the garden.","Location
Breakfast
Garden
Service
Restaurant on site",Lack
e40da5a41b4a19b25081a0f8cf8f874f,PURO Wrocław Stare Miasto,March 2026,3,Solo traveller,Poland,9.0,Superb,"Great bedding, cleanliness, attention to detail.",Coffee and tea available to everyone. Quality and fragrances of cosmetics.
88954a8c7f3ea8a960cf539b6bd7ea63,PURO Wrocław Stare Miasto,May 2026,3,Solo traveller,Poland,9.0,Well-located hotel for the weekend,"Great location, nice room, interesting design, good location, 6 minutes from the market square","The standard room could be a little bigger, the bathroom is also cramped, the water splashes a lot"
e54f8782cb6de7d262618da13889e81f,PURO Wrocław Stare Miasto,May 2026,3,Family,Poland,10.0,Great!,"Very good bed and bedding, cleanliness, functionality, coffee in the lobby, breakfast.",
8362dddc8c14165cf5e9d3a540225830,PURO Wrocław Stare Miasto,May 2026,3,Family,Poland,10.0,Nice garden,Meals,Room size
2109280b5b853b579ae126f3ed97b93c,PURO Wrocław Stare Miasto,May 2026,3,Couple,Spain,8.0,"Everything's fine except for the ""home automation""",The location,"The air conditioning doesn't work, no matter what I change. The television doesn't allow the use of any platform because it's so limited; we tried with HDMI and it didn't work either."
e40da5a41b4a19b25081a0f8cf8f874f,PURO Wrocław Stare Miasto,May 2026,3,Solo traveller,Belgium,9.0,Superb,"You could make breakfast as elaborate as you liked. The quality of the products is extremely good.

The staff is very friendly and helpful.",No fridge in the room.
e40da5a41b4a19b25081a0f8cf8f874f,PURO Wrocław Stare Miasto,May 2026,3,Couple,Poland,9.0,Superb,"Great location, dog-friendly. Very comfortable bed and bedding. Patio with a small garden overlooking a small park.","Room a bit small and no kettle in the room. You can use the coffee machine at the reception, but it is not the most convenient option."
351600831b1ae3cee9b76041a36a84be,PURO Wrocław Stare Miasto,April 2026,3,Solo traveller,Poland,9.0,"Great, with minor comments.","Large, well-equipped kitchen, plenty of space, so 9 people can sleep comfortably without feeling cramped. There is also a nice terrace, a comfortable table and plenty of seating. Great and helpful hostess.","We had some problems with the boiler and the first day we had no hot water. In some places it was not very clean - dust and cobwebs around the beds, lots of cobwebs in the room with the boiler. In the downstairs bathroom, there is a very unpleasant smell of septic tank. It would probably have been a real pain for us, but we were only staying overnight in the cottage, so I wasn't expecting any special luxuries."
de4340a10580375bdac654edf6c85d46,PURO Wrocław Stare Miasto,April 2026,3,Couple,United States,10.0,Beautiful hotel with a short walk to dining and entertainment.,Location was great. Hotel and surroundings were nice with a large outdoor door area. Free bikes.,
